angle_index,interface_angle_rad,interface_angle_pi,support_class,support_reason,nominal_incident_channel_count,nominal_matched_reflected_channel_count,nominal_matched_fraction,nominal_same_band_fraction,nominal_mismatch_mean,nominal_mismatch_p95,nominal_mismatch_max,tight_matched_fraction,loose_matched_fraction,matched_fraction_tolerance_span,mismatch_p95_tolerance_span,neighbor_mse_conductance_step,neighbor_max_abs_conductance_step,num_transport_channels,filtered_channel_fraction,mean_mismatch_penalty,zero_bias_conductance,dynamic_range
12,0.5890486225480862,0.1875,caution,computable but fails at least one robust threshold,87,39,0.4482758620689655,1.0,0.07451332189279937,0.14451041686394506,0.1460347335232081,0.1724137931034483,0.5242718446601942,0.3518580515567459,0.20040053127605606,0.016687409249159395,0.2555406510916338,39,0.0,0.7267065770982332,1.0320967383392798,0.5619114336550928
13,0.6381360077604268,0.20312500000000003,caution,computable but fails at least one robust threshold,103,46,0.44660194174757284,1.0,0.0664617873879927,0.1420972114598145,0.1479672079390304,0.21359223300970873,0.5436893203883495,0.33009708737864074,0.14927745734979037,0.01170690350293893,0.23058760907439435,46,0.0,0.7740434365818412,0.943793763091193,0.3691276392771716
14,0.6872233929727672,0.21875,caution,computable but fails at least one robust threshold,96,52,0.5416666666666666,1.0,0.04975178341096657,0.12610540672880768,0.14709899669982562,0.3333333333333333,0.5803571428571429,0.2470238095238096,0.17827190467077908,0.00716243269744521,0.14384308991131545,52,0.0,0.7689572893978459,1.0263616291288515,0.46802168383885745
15,0.7363107781851077,0.23437499999999997,caution,computable but fails at least one robust threshold,111,64,0.5765765765765766,1.0,0.03952169719378741,0.12504741381431103,0.1449415963717849,0.5157894736842106,0.7819548872180451,0.2661654135338345,0.16571091573707064,0.012453706796731173,0.2160722751269002,64,0.0,0.8371379401302488,0.987284257669293,0.36078664456598275
16,0.7853981633974483,0.25,robust,meets all robust thresholds,133,133,1.0,1.0,4.656045055556226e-16,1.059049762550978e-15,2.6645352591003757e-15,1.0,1.0,0.0,0.0,0.012453706796731173,0.2160722751269002,133,0.0,1.0,0.8895262203014861,0.24128120347200632
17,0.8344855486097889,0.265625,caution,computable but fails at least one robust threshold,111,64,0.5765765765765766,1.0,0.039661919061257184,0.12504741381431114,0.1449415963717849,0.5157894736842106,0.7819548872180451,0.2661654135338345,0.16571091573707047,0.012453706663622237,0.21607227401533957,64,0.0,0.8369817049356717,0.9872842570363145,0.36078664384160297
18,0.8835729338221293,0.28125,caution,computable but fails at least one robust threshold,96,52,0.5416666666666666,1.0,0.05023788417566844,0.1261054067288076,0.1470989966998255,0.3333333333333333,0.5803571428571429,0.2470238095238096,0.17827190467077908,0.007162433177806143,0.14384309506663673,52,0.0,0.7680619930352093,1.0263616304896455,0.46802168539288924
19,0.9326603190344698,0.296875,caution,computable but fails at least one robust threshold,103,46,0.44660194174757284,1.0,0.06765915414272412,0.14209721145981338,0.14796720793903004,0.20388349514563106,0.5436893203883495,0.3398058252427184,0.14866449537777915,0.011706904171145333,0.23058761582954745,46,0.0,0.7717951075578349,0.9437937611844723,0.3691276374393785
20,0.9817477042468103,0.3125,caution,computable but fails at least one robust threshold,87,39,0.4482758620689655,1.0,0.07684883123441709,0.14451041686394517,0.14603473352320748,0.16091954022988506,0.5242718446601942,0.3633523044303091,0.20040053127605523,0.016687410542493956,0.255540659559071,39,0.0,0.721736905118291,1.032096739649203,0.5619114361304489
21,1.030835089459151,0.328125,unstable,fails at least one caution threshold,105,32,0.3047619047619048,1.0,0.07573004785863285,0.13579933433611313,0.1371748670071183,0.13793103448275862,0.4857142857142857,0.3477832512315271,0.2070527740459676,0.016687410542493956,0.255540659559071,32,0.0,0.8047813332447302,0.9251497205848951,0.3686243398478568
